Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Sde-AMat_075-SdA01075-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_076-SdA01076-L2-clmp-fp2-repr.R1	0.10931881282103485	0.0
Sde-AMat_076-SdA01076-L2-clmp-fp2-repr.R2	0.1167753154749014	0.0
Sde-AMat_077-SdA01077-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_077-SdA01077-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_078-SdA01078-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_078-SdA01078-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_079-SdA01079-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_079-SdA01079-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_080-SdA01080-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_080-SdA01080-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_082-SdA01082-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_082-SdA01082-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_083-SdA01083-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_083-SdA01083-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_084-SdA01084-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_084-SdA01084-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_085-SdA01085-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_085-SdA01085-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_086-SdA01086-L2-clmp-fp2-repr.R1	0.11867137283237705	0.0
Sde-AMat_086-SdA01086-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_087-SdA01087-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_087-SdA01087-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_088-SdA01088-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_088-SdA01088-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_089-SdA01089-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_089-SdA01089-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_090-SdA01090-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_090-SdA01090-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_091-SdA01091-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_091-SdA01091-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_092-SdA01092-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_092-SdA01092-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_094-SdA01094-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_094-SdA01094-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_095-SdA01095-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_095-SdA01095-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_096-SdA01096-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_096-SdA01096-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-CHam_001-SdC02001-L2-clmp-fp2-repr.R1	0.1287415513356936	0.4398669670636198
Sde-CHam_001-SdC02001-L2-clmp-fp2-repr.R2	0.11801308872438579	0.2092050209205021
Sde-CHam_002-SdC02002-L2-clmp-fp2-repr.R1	0.11146577494046714	0.0
Sde-CHam_002-SdC02002-L2-clmp-fp2-repr.R2	0.11653240107412474	0.0
Sde-CHam_003-SdC02003-L2-clmp-fp2-repr.R1	0.2223794602244011	4.477913676336804
Sde-CHam_003-SdC02003-L2-clmp-fp2-repr.R2	0.15162235924390982	2.688769837258666
Sde-CHam_004-SdC02004-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-CHam_004-SdC02004-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-CHam_005-SdC02005-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-CHam_005-SdC02005-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-CHam_006-SdC02006-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-CHam_006-SdC02006-L2-clmp-fp2-repr.R2	0.10554417334078352	0.10037043935349017
Sde-CHam_007-SdC02007-L2-clmp-fp2-repr.R1	0.5405405405405406	14.520884520884522
Sde-CHam_007-SdC02007-L2-clmp-fp2-repr.R2	0.41769041769041765	10.245700245700242
