Sample	Protists_1k	Human	Fungi_RefSeq_release	Plant	Bird	Coral	Bacteria_24k	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
SdC01048_CKDL210020579-1a-AK6881-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1248.0	244.0	201.0	90.0	61.0	36.0	20.0	21.0	0.0	0.0	281.0	3143249.0
SdC01048_CKDL210020579-1a-AK6881-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1111.0	243.0	159.0	87.0	75.0	23.0	25.0	16.0	0.0	0.0	149.0	3143563.0
SdC01049_CKDL210020579-1a-AK3905-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	816.0	139.0	106.0	41.0	46.0	32.0	12.0	10.0	0.0	1.0	58.0	2099251.0
SdC01049_CKDL210020579-1a-AK3905-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	746.0	133.0	123.0	53.0	41.0	28.0	14.0	7.0	0.0	0.0	116.0	2099251.0
SdC01050_CKDL210020579-1a-AK8410-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	992.0	215.0	169.0	87.0	54.0	35.0	17.0	14.0	0.0	0.0	271.0	2646002.0
SdC01050_CKDL210020579-1a-AK8410-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	969.0	214.0	168.0	82.0	65.0	33.0	19.0	12.0	0.0	0.0	292.0	2646002.0
SdC01051_CKDL210020579-1a-AK6881-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	993.0	182.0	167.0	56.0	56.0	33.0	21.0	17.0	0.0	0.0	201.0	2874236.0
SdC01051_CKDL210020579-1a-AK6881-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	992.0	198.0	150.0	76.0	58.0	35.0	20.0	13.0	0.0	0.0	184.0	2874236.0
SdC01053_CKDL210020579-1a-AK7759-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	576.0	120.0	87.0	45.0	33.0	24.0	9.0	7.0	0.0	0.0	95.0	1420634.0
SdC01053_CKDL210020579-1a-AK7759-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	494.0	110.0	95.0	25.0	23.0	17.0	7.0	5.0	0.0	0.0	77.0	1420777.0
SdC01054_CKDL210020579-1a-AK7761-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	587.0	123.0	102.0	33.0	33.0	15.0	14.0	11.0	0.0	0.0	133.0	1498996.0
SdC01054_CKDL210020579-1a-AK7761-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	607.0	125.0	107.0	33.0	50.0	19.0	10.0	9.0	0.0	0.0	91.0	1498996.0
SdC01055_CKDL210020579-1a-AK6260-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	610.0	131.0	116.0	52.0	40.0	23.0	18.0	11.0	0.0	0.0	133.0	1887594.0
SdC01055_CKDL210020579-1a-AK6260-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	619.0	138.0	76.0	40.0	39.0	26.0	9.0	7.0	1.0	0.0	179.0	1887594.0
SdC01056_CKDL210020579-1a-AK9141-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1131.0	221.0	188.0	72.0	49.0	35.0	13.0	16.0	0.0	0.0	220.0	3239179.0
SdC01056_CKDL210020579-1a-AK9141-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1095.0	224.0	146.0	75.0	68.0	22.0	20.0	4.0	0.0	0.0	291.0	3239179.0
SdC01057_CKDL210020579-1a-5UDI298-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1033.0	195.0	185.0	76.0	75.0	39.0	17.0	10.0	0.0	0.0	67.0	2825629.0
SdC01057_CKDL210020579-1a-5UDI298-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	967.0	194.0	196.0	68.0	70.0	31.0	19.0	16.0	0.0	0.0	136.0	2825629.0
SdC01058_CKDL210020579-1a-AK7761-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2874.0	578.0	445.0	217.0	160.0	85.0	46.0	45.0	0.0	0.0	807.0	7503609.0
SdC01058_CKDL210020579-1a-AK7761-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	2655.0	519.0	426.0	180.0	153.0	78.0	53.0	27.0	0.0	0.0	415.0	7504360.0
SdC01059_CKDL210020579-1a-5UDI298-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1376.0	314.0	220.0	98.0	91.0	56.0	32.0	24.0	0.0	0.0	163.0	3953253.0
SdC01059_CKDL210020579-1a-5UDI298-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1381.0	288.0	193.0	94.0	78.0	61.0	29.0	22.0	0.0	0.0	228.0	3953253.0
SdC01060_CKDL210020579-1a-AK8587-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	382.0	72.0	53.0	27.0	27.0	17.0	5.0	5.0	0.0	0.0	76.0	946852.0
SdC01060_CKDL210020579-1a-AK8587-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	345.0	83.0	57.0	28.0	13.0	13.0	8.0	5.0	0.0	0.0	112.0	946852.0
SdC01061_CKDL210020579-1a-5UDI312-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	129.0	24.0	26.0	4.0	9.0	3.0	4.0	4.0	0.0	0.0	29.0	330630.0
SdC01061_CKDL210020579-1a-5UDI312-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	135.0	19.0	14.0	11.0	7.0	2.0	1.0	2.0	0.0	0.0	8.0	330663.0
SdC01062_CKDL210020579-1a-5UDI298-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	698.0	148.0	110.0	52.0	33.0	20.0	13.0	13.0	0.0	0.0	167.0	2088048.0
SdC01062_CKDL210020579-1a-5UDI298-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	618.0	137.0	117.0	44.0	40.0	19.0	15.0	13.0	0.0	0.0	42.0	2088257.0
SdC01063_CKDL210020579-1a-AK8587-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	277.0	59.0	30.0	13.0	20.0	7.0	6.0	2.0	0.0	0.0	37.0	750140.0
SdC01063_CKDL210020579-1a-AK8587-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	250.0	35.0	42.0	13.0	16.0	8.0	10.0	7.0	0.0	0.0	70.0	750140.0
SdC01064_CKDL210020579-1a-AK7759-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	143.0	32.0	23.0	10.0	7.0	4.0	3.0	1.0	0.0	0.0	20.0	346700.0
SdC01064_CKDL210020579-1a-AK7759-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	120.0	35.0	26.0	15.0	3.0	5.0	4.0	4.0	0.0	0.0	31.0	346700.0
SdC01065_CKDL210020579-1a-AK8587-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1927.0	393.0	335.0	134.0	103.0	59.0	31.0	38.0	0.0	0.0	496.0	5018534.0
SdC01065_CKDL210020579-1a-AK8587-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1788.0	345.0	260.0	130.0	105.0	59.0	40.0	29.0	0.0	0.0	258.0	5019036.0
SdC01066_CKDL210020579-1a-AK7759-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	112.0	27.0	30.0	11.0	2.0	4.0	5.0	4.0	0.0	0.0	32.0	323199.0
SdC01066_CKDL210020579-1a-AK7759-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	89.0	16.0	12.0	5.0	6.0	4.0	3.0	1.0	0.0	0.0	26.0	323264.0
SdC01067_CKDL210020579-1a-AK7761-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	748.0	154.0	144.0	50.0	51.0	53.0	21.0	11.0	0.0	0.0	224.0	1616304.0
SdC01067_CKDL210020579-1a-AK7761-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	715.0	183.0	118.0	52.0	47.0	43.0	14.0	9.0	0.0	0.0	114.0	1616465.0
SdC01068_CKDL210020579-1a-5UDI298-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	380.0	111.0	74.0	36.0	33.0	13.0	5.0	9.0	0.0	0.0	127.0	1311757.0
SdC01068_CKDL210020579-1a-5UDI298-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	388.0	110.0	80.0	35.0	21.0	15.0	4.0	14.0	0.0	0.0	121.0	1311757.0
SdC01069_CKDL210020579-1a-AK3905-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1658.0	364.0	282.0	112.0	93.0	53.0	31.0	23.0	0.0	0.0	302.0	4164513.0
SdC01069_CKDL210020579-1a-AK3905-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1595.0	327.0	285.0	127.0	82.0	60.0	22.0	27.0	0.0	0.0	393.0	4164513.0
SdC01070_CKDL210020579-1a-AK9142-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	613.0	141.0	106.0	44.0	24.0	23.0	15.0	8.0	0.0	0.0	46.0	1455897.0
SdC01070_CKDL210020579-1a-AK9142-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	568.0	129.0	97.0	46.0	30.0	28.0	12.0	9.0	0.0	0.0	101.0	1455897.0
SdC01071_CKDL210020579-1a-AK9141-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	630.0	131.0	124.0	46.0	44.0	21.0	14.0	4.0	0.0	0.0	118.0	1885073.0
SdC01071_CKDL210020579-1a-AK9141-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	676.0	149.0	111.0	49.0	57.0	19.0	11.0	13.0	0.0	0.0	47.0	1885073.0
SdC01072_CKDL210020579-1a-AK9142-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1618.0	329.0	238.0	118.0	69.0	44.0	29.0	20.0	0.0	0.0	323.0	3979962.0
SdC01072_CKDL210020579-1a-AK9142-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1466.0	286.0	253.0	107.0	89.0	60.0	24.0	13.0	0.0	0.0	92.0	3980360.0
SdC01073_CKDL210020579-1a-AK8410-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1419.0	322.0	264.0	121.0	108.0	57.0	33.0	24.0	0.0	0.0	460.0	4008413.0
SdC01073_CKDL210020579-1a-AK8410-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1419.0	339.0	238.0	121.0	101.0	47.0	30.0	27.0	1.0	0.0	84.0	4008814.0
SdC01074_CKDL210020579-1a-AK9142-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2335.0	490.0	410.0	182.0	119.0	75.0	45.0	38.0	2.0	0.0	537.0	6042286.0
SdC01074_CKDL210020579-1a-AK9142-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	2232.0	490.0	355.0	170.0	138.0	94.0	45.0	28.0	0.0	0.0	681.0	6042286.0
SdC01075_CKDL210020579-1a-5UDI298-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1848.0	355.0	309.0	130.0	102.0	74.0	40.0	35.0	1.0	0.0	159.0	5083645.0
SdC01075_CKDL210020579-1a-5UDI298-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1768.0	408.0	309.0	135.0	119.0	53.0	27.0	36.0	0.0	0.0	198.0	5083645.0
SdC01076_CKDL210020579-1a-AK7010-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	411.0	72.0	79.0	26.0	23.0	10.0	2.0	4.0	0.0	0.0	144.0	1099695.0
SdC01076_CKDL210020579-1a-AK7010-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	401.0	73.0	73.0	31.0	25.0	12.0	5.0	4.0	0.0	0.0	37.0	1099805.0
SdC01077_CKDL210020579-1a-AK9141-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1309.0	269.0	239.0	115.0	79.0	45.0	28.0	22.0	0.0	0.0	197.0	3835101.0
SdC01077_CKDL210020579-1a-AK9141-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1364.0	270.0	232.0	106.0	83.0	51.0	22.0	31.0	0.0	0.0	144.0	3835101.0
SdC01079_CKDL210020579-1a-AK6881-7UDI298_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1008.0	217.0	187.0	81.0	74.0	23.0	28.0	12.0	0.0	0.0	276.0	3173301.0
SdC01080_CKDL210020579-1a-AK6881-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1253.0	266.0	197.0	87.0	72.0	45.0	25.0	25.0	0.0	0.0	176.0	3573204.0
SdC01080_CKDL210020579-1a-AK6881-AK892_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1137.0	243.0	175.0	78.0	71.0	55.0	20.0	20.0	0.0	0.0	347.0	3573204.0
SdC01081_CKDL210020579-1a-AK8587-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	661.0	144.0	117.0	52.0	39.0	26.0	17.0	13.0	0.0	0.0	167.0	1764130.0
SdC01081_CKDL210020579-1a-AK8587-AK8544_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	629.0	127.0	111.0	61.0	45.0	29.0	12.0	11.0	0.0	0.0	35.0	1764306.0
SdC01082_CKDL210020579-1a-AK3905-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	349.0	61.0	58.0	16.0	18.0	18.0	9.0	2.0	1.0	0.0	33.0	1127576.0
SdC01082_CKDL210020579-1a-AK3905-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	380.0	71.0	47.0	20.0	17.0	8.0	4.0	7.0	0.0	0.0	11.0	1127576.0
SdC01083_CKDL210020579-1a-AK7759-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	641.0	137.0	104.0	51.0	37.0	21.0	10.0	13.0	0.0	0.0	171.0	1691568.0
SdC01083_CKDL210020579-1a-AK7759-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	614.0	134.0	96.0	52.0	34.0	18.0	9.0	8.0	0.0	0.0	51.0	1691737.0
SdC01084_CKDL210020579-1a-AK8587-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2224.0	430.0	352.0	166.0	135.0	81.0	38.0	27.0	0.0	0.0	673.0	5890040.0
SdC01084_CKDL210020579-1a-AK8587-7UDI243_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	2153.0	411.0	333.0	161.0	119.0	74.0	38.0	28.0	1.0	0.0	219.0	5890629.0
SdC01085_CKDL210020579-1a-AK7010-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1693.0	324.0	273.0	132.0	80.0	69.0	26.0	21.0	0.0	0.0	367.0	4260079.0
SdC01085_CKDL210020579-1a-AK7010-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1641.0	317.0	285.0	128.0	85.0	37.0	32.0	22.0	0.0	0.0	438.0	4260079.0
SdC01086_CKDL210020579-1a-5UDI298-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2039.0	443.0	328.0	160.0	113.0	86.0	34.0	40.0	1.0	0.0	116.0	5596371.0
SdC01086_CKDL210020579-1a-5UDI298-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1974.0	416.0	325.0	147.0	130.0	75.0	29.0	25.0	0.0	0.0	239.0	5596371.0
SdC01087_CKDL210020579-1a-AK8410-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2997.0	586.0	502.0	229.0	176.0	97.0	55.0	39.0	0.0	0.0	407.0	8474286.0
SdC01087_CKDL210020579-1a-AK8410-AK33_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	2806.0	576.0	477.0	170.0	181.0	107.0	42.0	31.0	2.0	0.0	696.0	8474286.0
SdC01088_CKDL210020579-1a-AK9141-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2176.0	446.0	350.0	153.0	127.0	69.0	35.0	25.0	0.0	0.0	337.0	5306736.0
SdC01088_CKDL210020579-1a-AK9141-7UDI227_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	2090.0	392.0	348.0	152.0	113.0	75.0	38.0	34.0	0.0	0.0	476.0	5306736.0
SdC01089_CKDL210020579-1a-AK7010-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	502.0	92.0	62.0	34.0	23.0	12.0	5.0	5.0	0.0	0.0	56.0	1316428.0
SdC01089_CKDL210020579-1a-AK7010-AK9148_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	432.0	85.0	69.0	36.0	30.0	19.0	8.0	9.0	0.0	0.0	103.0	1316428.0
SdC01090_CKDL210020579-1a-AK7010-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	945.0	200.0	146.0	74.0	53.0	35.0	22.0	17.0	0.0	0.0	168.0	2369524.0
SdC01090_CKDL210020579-1a-AK7010-AK4997_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	902.0	192.0	141.0	65.0	47.0	29.0	15.0	16.0	0.0	0.0	253.0	2369524.0
SdC02001_CKDL210020579-1a-AK3905-AK7558_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	18636.0
SdC02001_CKDL210020579-1a-AK3905-AK7558_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	11.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	18625.0
SdC02002_CKDL210020579-1a-AK9141-AK7558_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	11.0	3.0	4.0	1.0	2.0	2.0	1.0	1.0	0.0	0.0	3.0	39446.0
SdC02002_CKDL210020579-1a-AK9141-AK7558_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	11.0	4.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	39454.0
SdC02003_CKDL210020579-1a-AK9142-AK7558_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	4.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9884.0
SdC02003_CKDL210020579-1a-AK9142-AK7558_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	4.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	9885.0
SdC02004_CKDL210020579-1a-AK9142-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	14.0	5.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	34426.0
SdC02004_CKDL210020579-1a-AK9142-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	21.0	3.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	9.0	34413.0
SdC02005_CKDL210020579-1a-AK9142-7UDI308_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	9.0	4.0	1.0	2.0	0.0	2.0	1.0	1.0	0.0	0.0	7.0	53283.0
SdC02005_CKDL210020579-1a-AK9142-7UDI308_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	14.0	1.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	53288.0
SdC02006_CKDL210020579-1a-AK3905-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	19.0	2.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	96613.0
SdC02006_CKDL210020579-1a-AK3905-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	21.0	7.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	8.0	96603.0
SdC02007_CKDL210020579-1a-AK7761-7UDI214_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4067.0
SdC02007_CKDL210020579-1a-AK7761-7UDI214_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4067.0
SdC02008_CKDL210020579-1a-AK7759-7UDI214_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	34.0	6.0	5.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	8.0	143197.0
SdC02008_CKDL210020579-1a-AK7759-7UDI214_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	33.0	3.0	6.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	-2.0	143212.0
SdC02010_CKDL210020579-1a-5UDI298-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4749.0
SdC02010_CKDL210020579-1a-5UDI298-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4749.0
SdC02013_CKDL210020579-1a-AK7761-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	94.0	14.0	10.0	4.0	7.0	3.0	1.0	0.0	0.0	0.0	12.0	144377.0
SdC02013_CKDL210020579-1a-AK7761-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	54.0	13.0	3.0	4.0	2.0	3.0	0.0	4.0	0.0	0.0	19.0	144420.0
SdC02014_CKDL210020579-1a-AK9142-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	88.0	9.0	18.0	5.0	8.0	3.0	2.0	1.0	0.0	0.0	23.0	261151.0
SdC02014_CKDL210020579-1a-AK9142-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	95.0	16.0	8.0	2.0	4.0	1.0	4.0	1.0	0.0	0.0	26.0	261151.0
SdC02016_CKDL210020579-1a-AK6260-AK2587_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	118.0	12.0	8.0	11.0	4.0	5.0	1.0	0.0	0.0	0.0	8.0	238080.0
SdC02016_CKDL210020579-1a-AK6260-AK2587_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	98.0	15.0	9.0	6.0	5.0	2.0	1.0	1.0	0.0	0.0	6.0	238104.0
SdC02018_CKDL210020579-1a-5UDI298-7UDI308_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	4.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9906.0
SdC02018_CKDL210020579-1a-5UDI298-7UDI308_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9911.0
SdC02019_CKDL210020579-1a-5UDI298-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	7.0	1.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	22528.0
SdC02019_CKDL210020579-1a-5UDI298-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	7.0	3.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	22530.0
SdC02020_CKDL210020579-1a-AK9142-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	13.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	17725.0
SdC02020_CKDL210020579-1a-AK9142-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	2.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	17736.0
SdC02022_CKDL210020579-1a-5UDI298-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	27.0	7.0	2.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	5.0	66765.0
SdC02022_CKDL210020579-1a-5UDI298-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	16.0	1.0	3.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	66785.0
SdC02027_CKDL210020579-1a-AK8410-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2627.0
SdC02027_CKDL210020579-1a-AK8410-AK1864_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2628.0
SdC02028_CKDL210020579-1a-AK8410-AK2587_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	24.0	5.0	2.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	13.0	159386.0
SdC02028_CKDL210020579-1a-AK8410-AK2587_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	26.0	8.0	8.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	159386.0
SdC02029_CKDL210020579-1a-AK6881-AK2587_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	27317.0
SdC02029_CKDL210020579-1a-AK6881-AK2587_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	27320.0
SdC02031_CKDL210020579-1a-AK8587-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	10029.0
SdC02031_CKDL210020579-1a-AK8587-AK4971_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	10028.0
SdC02035_CKDL210020579-1a-AK9142-AK2587_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7749.0
SdC02035_CKDL210020579-1a-AK9142-AK2587_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	7747.0
SdC02036_CKDL210020579-1a-AK6260-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	41.0	5.0	1.0	8.0	1.0	1.0	2.0	1.0	0.0	0.0	4.0	70354.0
SdC02036_CKDL210020579-1a-AK6260-GC12_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	40.0	8.0	6.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	6.0	70354.0
SdC02037_CKDL210020579-1a-AK8410-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	99.0	20.0	25.0	4.0	9.0	3.0	2.0	2.0	0.0	0.0	27.0	635754.0
SdC02037_CKDL210020579-1a-AK8410-7UDI246_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	103.0	19.0	11.0	3.0	5.0	4.0	0.0	0.0	0.0	0.0	46.0	635754.0
SdC02040_CKDL210020579-1a-AK6881-7UDI308_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2441.0
SdC02040_CKDL210020579-1a-AK6881-7UDI308_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2442.0
